Title;Year;Rank;Rating
Princess Mononoke;1997;79;8.3
Avengers: Endgame;2019;80;8.3
Once Upon a Time in America;1984;81;8.3
Good Will Hunting;1997;82;8.3
Your Name.;2016;83;8.3
Requiem for a Dream;2000;84;8.3
Toy Story 3;2010;85;8.3
Singin' in the Rain;1952;86;8.3
3 Idiots;2009;87;8.3
Star Wars: Episode VI - Return of the Jedi;1983;88;8.3
High and Low;1963;89;8.3
2001: A Space Odyssey;1968;90;8.3
Eternal Sunshine of the Spotless Mind;2004;91;8.3
Reservoir Dogs;1992;92;8.3
Capernaum;2018;93;8.3
Lawrence of Arabia;1962;94;8.3
Citizen Kane;1941;95;8.3
The Hunt;2012;96;8.3
M;1931;97;8.3
North by Northwest;1959;98;8.3
Come and See;1985;99;8.2
Vertigo;1958;100;8.2
Amélie;2001;101;8.2
A Clockwork Orange;1971;102;8.2
Double Indemnity;1944;103;8.2
Full Metal Jacket;1987;104;8.2
The Apartment;1960;105;8.2
Scarface;1983;106;8.2
Ikiru;1952;107;8.2
The Sting;1973;108;8.2
To Kill a Mockingbird;1962;109;8.2
Taxi Driver;1976;110;8.2
Heat;1995;111;8.2
Up;2009;112;8.2
L.A. Confidential;1997;113;8.2
Metropolis;1927;114;8.2
Incendies;2010;115;8.2
A Separation;2011;116;8.2
Die Hard;1988;117;8.2
Snatch;2000;118;8.2
Indiana Jones and the Last Crusade;1989;119;8.2
Bicycle Thieves;1948;120;8.2
Hamilton;2020;121;8.2
1917;2019;122;8.2
Like Stars on Earth;2007;123;8.2
Downfall;2004;124;8.2
For a Few Dollars More;1965;125;8.2
Batman Begins;2005;126;8.2
Dangal;2016;127;8.2
The Kid;1921;128;8.2
Some Like It Hot;1959;129;8.2
All About Eve;1950;130;8.2
The Father;2020;131;8.2
Green Book;2018;132;8.2
The Wolf of Wall Street;2013;133;8.2
Spider-Man: No Way Home;2021;134;8.2
Judgment at Nuremberg;1961;135;8.2
Ran;1985;136;8.2
Casino;1995;137;8.2
Unforgiven;1992;138;8.2
Pan's Labyrinth;2006;139;8.2
There Will Be Blood;2007;140;8.2
The Truman Show;1998;141;8.2
The Sixth Sense;1999;142;8.2
A Beautiful Mind;2001;143;8.2
Monty Python and the Holy Grail;1975;144;8.2
Yojimbo;1961;145;8.1
The Treasure of the Sierra Madre;1948;146;8.1
Shutter Island;2010;147;8.1
Jurassic Park;1993;148;8.1
The Great Escape;1963;149;8.1
Rashomon;1950;150;8.1
Kill Bill: Vol. 1;2003;151;8.1
No Country for Old Men;2007;152;8.1
Finding Nemo;2003;153;8.1
The Elephant Man;1980;154;8.1
Chinatown;1974;155;8.1
Raging Bull;1980;156;8.1
The Thing;1982;157;8.1
Gone with the Wind;1939;158;8.1
V for Vendetta;2005;159;8.1
Inside Out;2015;160;8.1
Lock, Stock and Two Smoking Barrels;1998;161;8.1
Dial M for Murder;1954;162;8.1
The Secret in Their Eyes;2009;163;8.1
Howl's Moving Castle;2004;164;8.1
The Bridge on the River Kwai;1957;165;8.1
Three Billboards Outside Ebbing, Missouri;2017;166;8.1
Trainspotting;1996;167;8.1
Warrior;2011;168;8.1
Gran Torino;2008;169;8.1
Fargo;1996;170;8.1
Prisoners;2013;171;8.1
My Neighbor Totoro;1988;172;8.1
Million Dollar Baby;2004;173;8.1
Catch Me If You Can;2002;174;8.1
The Gold Rush;1925;175;8.1
Blade Runner;1982;176;8.1
On the Waterfront;1954;177;8.1
Children of Heaven;1997;178;8.1
The Third Man;1949;179;8.1
Ben-Hur;1959;180;8.1
Before Sunrise;1995;181;8.1
Everything Everywhere All at Once;2022;182;8.1
12 Years a Slave;2013;183;8.1
Wild Strawberries;1957;184;8.1
The General;1926;185;8.1
Gone Girl;2014;186;8.1
Harry Potter and the Deathly Hallows: Part 2;2011;187;8.1
The Deer Hunter;1978;188;8.1
In the Name of the Father;1993;189;8.1
The Grand Budapest Hotel;2014;190;8.1
Barry Lyndon;1975;191;8.1
Mr. Smith Goes to Washington;1939;192;8.1
The Wages of Fear;1953;193;8.1
Sherlock Jr.;1924;194;8.1
Hacksaw Ridge;2016;195;8.1
Memories of Murder;2003;196;8.1
Klaus;2019;197;8.1
Wild Tales;2014;198;8.1
The Seventh Seal;1957;199;8.1
Room;2015;200;8.1
Mad Max: Fury Road;2015;201;8.1
How to Train Your Dragon;2010;202;8.1
The Big Lebowski;1998;203;8.1
Mary and Max;2009;204;8.1
Monsters, Inc.;2001;205;8.1
Jaws;1975;206;8.1
Dead Poets Society;1989;207;8.1
Tokyo Story;1953;208;8.1
The Passion of Joan of Arc;1928;209;8.1
Hotel Rwanda;2004;210;8.1
Rocky;1976;211;8.0
Ford v Ferrari;2019;212;8.0
Platoon;1986;213;8.0
Pather Panchali;1955;214;8.0
Stand by Me;1986;215;8.0
The Terminator;1984;216;8.0
Spotlight;2015;217;8.0
Rush;2013;218;8.0
Logan;2017;219;8.0
Network;1976;220;8.0
Ratatouille;2007;221;8.0
Into the Wild;2007;222;8.0
The Wizard of Oz;1939;223;8.0
Groundhog Day;1993;224;8.0
Before Sunset;2004;225;8.0
The Exorcist;1973;226;8.0
The Best Years of Our Lives;1946;227;8.0
The Incredibles;2004;228;8.0
To Be or Not to Be;1942;229;8.0
The Grapes of Wrath;1940;230;8.0
The Battle of Algiers;1966;231;8.0
Rebecca;1940;232;8.0
Hachi: A Dog's Tale;2009;233;8.0
Cool Hand Luke;1967;234;8.0
Amores perros;2000;235;8.0
Pirates of the Caribbean: The Curse of the Black Pearl;2003;236;8.0
La Haine;1995;237;8.0
My Father and My Son;2005;238;8.0
The 400 Blows;1959;239;8.0
It Happened One Night;1934;240;8.0
Persona;1966;241;8.0
The Sound of Music;1965;242;8.0
Life of Brian;1979;243;8.0
The Handmaiden;2016;244;8.0
Dersu Uzala;1975;245;8.0
Jai Bhim;2021;246;8.0
Aladdin;1992;247;8.0
Gandhi;1982;248;8.0
The Help;2011;249;8.0
The Iron Giant;1999;250;8.0
